    YY |    DDD |  Pos-R [mm] |  SVN |  Pos-A [mm] |  SVN |  Pos-C [mm] |  SVN |  Vel-R [mm/s] |  SVN |  Vel-A [mm/s] |  SVN |  Vel-C [mm/s] |  SVN |  North [mm] |  Station |  East [mm] |  Station |  Up [mm] |  Station |  ERP-X [μas] |  ERP-Y [μas] |  ERP-LOD [μs]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    26 |      8 |        0.00 |    1 |        0.10 |    2 |        0.10 |  112 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     CKSV |       0.05 |     AC24 |     0.12 |     INVK |     1.09e+00 |     2.66e+00 |     -4.00e-03
    26 |      9 |        0.00 |    1 |        0.20 |    3 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     AIRA |       0.07 |     VNDP |     0.05 |     INVK |     4.40e-01 |     1.94e+00 |     -1.00e-02
    26 |     10 |        0.00 |    1 |        0.20 |  106 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     PALM |       0.05 |     CZTG |     0.07 |     WUHN |    -3.30e-01 |     1.45e+00 |     -7.00e-03
    26 |     11 |        0.00 |    1 |        0.10 |    7 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     CAS1 |       0.04 |     SYOG |     0.05 |     THTI |     1.00e-02 |     1.37e+00 |     -1.50e-02
    26 |     12 |        0.00 |    1 |        0.20 |   26 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     BAKO |       0.03 |     AREQ |     0.08 |     USUD |    -2.20e-01 |     1.38e+00 |     -2.20e-02
    26 |     13 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     HARB |       0.03 |     ANTC |    -0.03 |     WUHN |    -1.01e+00 |     7.00e-01 |     -2.00e-02
    26 |     14 |        0.00 |    1 |        0.20 |   27 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     BADG |       0.03 |     AC24 |     0.05 |     THTI |    -6.30e-01 |     1.68e+00 |     -1.70e-02
    26 |     15 |        0.00 |    1 |        0.20 |   32 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     AC24 |       0.03 |     WUHN |     0.08 |     THTI |    -1.20e-01 |     1.09e+00 |     -6.00e-03
    26 |     16 |        0.00 |    1 |        0.20 |    1 |        0.20 |  208 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     THU2 |       0.05 |     AC24 |     0.10 |     INVK |    -5.00e-02 |     1.19e+00 |     -6.00e-03
    26 |     17 |        0.00 |    1 |        0.20 |    2 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     IRKJ |       0.06 |     HNLC |     0.12 |     WUHN |     3.00e-02 |     1.09e+00 |     -2.00e-03
    26 |     18 |        0.00 |    1 |        0.30 |  205 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     SOD3 |       0.06 |     AIRA |     0.20 |     INVK |    -6.30e-01 |     9.80e-01 |      0.00e+00
    26 |     19 |        0.00 |    1 |        0.20 |    4 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     ARUC |       0.06 |     WUHN |     0.15 |     INVK |    -7.70e-01 |     2.12e+00 |     -4.00e-03
    26 |     20 |        0.00 |    1 |        0.10 |    2 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     BJFS |       0.06 |     AC24 |     0.15 |     INVK |     5.80e-01 |     1.46e+00 |     -9.00e-03
    26 |     21 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     CEDU |       0.03 |     CZTG |     0.09 |     INVK |     6.70e-01 |     1.54e+00 |     -5.00e-03
    26 |     22 |        0.00 |    1 |        0.20 |    5 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     BADG |       0.07 |     AC24 |     0.18 |     INVK |     0.00e+00 |     1.67e+00 |     -7.00e-03
    26 |     23 |        0.00 |    1 |        0.20 |    1 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     BADG |       0.08 |     ASPA |     0.13 |     INVK |     3.80e-01 |     2.90e-01 |     -8.00e-03
