[2026-09-21 18:03:17]
21-Sep-2026 16:03:17 Mo  Doy: 26/264/Q/16  Week: 2437/1/26W39  MJD: 61304.66895
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          15897930 icpu-aiub RUNBPE_Q ck18y530  R       0:06      1 bnode060
          15897931 icpu-aiub RUNBPE_Q ck18y530  R       0:06      1 bnode061
          15897880 icpu-aiub RUNBPE_Q ck18y530  R       0:36      1 bnode063
          15897878 icpu-aiub RUNBPE_Q ck18y530  R       0:38      1 bnode062
          15897817 icpu-aiub RUNBPE_Q ck18y530  R       1:19      1 bnode063
          15897818 icpu-aiub RUNBPE_Q ck18y530  R       1:19      1 bnode060
          15897810 icpu-aiub RUNBPE_Q ck18y530  R       1:42      1 bnode060
          15897785 icpu-aiub RUNBPE_Q ck18y530  R       2:27      1 bnode063
          15897746 icpu-aiub RUNBPE_Q ck18y530  R       4:02      1 bnode063
          15897742 icpu-aiub RUNBPE_Q ck18y530  R       4:11      1 bnode060
          15897735 icpu-aiub RUNBPE_Q ck18y530  R       4:21      1 bnode063
          15897662 icpu-aiub RUNBPE_Q ck18y530  R       4:48      1 bnode062
          15897553 icpu-aiub RUNBPE_Q ck18y530  R       5:15      1 bnode060
          15897537 icpu-aiub RUNBPE_Q ck18y530  R       5:25      1 bnode060
          15897533 icpu-aiub RUNBPE_Q ck18y530  R       5:34      1 bnode060
          15897534 icpu-aiub RUNBPE_Q ck18y530  R       5:34      1 bnode060
          15897526 icpu-aiub RUNBPE_Q ck18y530  R       5:43      1 bnode060
          15897525 icpu-aiub RUNBPE_Q ck18y530  R       5:44      1 bnode061
          15897477 icpu-aiub RUNBPE_Q ck18y530  R       6:17      1 bnode061
          15897444 icpu-aiub RUNBPE_Q ck18y530  R       6:44      1 bnode061
          15897436 icpu-aiub RUNBPE_Q ck18y530  R       6:50      1 bnode062
          15897383 icpu-aiub RUNBPE_Q ck18y530  R       8:24      1 bnode061
          15897369 icpu-aiub RUNBPE_Q ck18y530  R       8:43      1 bnode063
          15897367 icpu-aiub RUNBPE_Q ck18y530  R       8:44      1 bnode061
